file_id,file_name,full_path,file_extension,file_size_bytes,file_size_mb,last_modified,current_folder,parent_folder,group_name,company_folder,company_code,web_url,download_url,matched_company_id,matched_company_name,document_type
"",TD CMA-Report-70-COLLETT-STREET-EIGHT-MILE-PLAINS-QLD-4113-71824245-8f1f-42f5-8b28-f5a273c87f05.pdf,Corporate/Tekna Group/TD CMA-Report-70-COLLETT-STREET-EIGHT-MILE-PLAINS-QLD-4113-71824245-8f1f-42f5-8b28-f5a273c87f05.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Current_Title_Search_50497112.pdf,Corporate/Tekna Group/TD Current_Title_Search_50497112.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Deed of Notation - Signed Shared Equity Docs.pdf,Corporate/Tekna Group/TD Deed of Notation - Signed Shared Equity Docs.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Executed - 20240117 - Tekna Pty Ltd - National Mortgage Form.pdf,Corporate/Tekna Group/TD Executed - 20240117 - Tekna Pty Ltd - National Mortgage Form.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD GEN Information Certificate.pdf,Corporate/Tekna Group/TD GEN Information Certificate.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD HOME-2311-Valuation Report [SIGNED] 21-Nov-2023 R.pdf,Corporate/Tekna Group/TD HOME-2311-Valuation Report [SIGNED] 21-Nov-2023 R.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD How to Pay.xlsx,Corporate/Tekna Group/TD How to Pay.xlsx,.xlsx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.xlsx
"",TD Neville Street Breakup of Funds.pdf,Corporate/Tekna Group/TD Neville Street Breakup of Funds.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD NEVILLES PLACE CTS 32586 LOT 5 CMS.pdf,Corporate/Tekna Group/TD NEVILLES PLACE CTS 32586 LOT 5 CMS.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD NEVILLES PLACE CTS 32586 LOT 5 Disc Invoice.pdf,Corporate/Tekna Group/TD NEVILLES PLACE CTS 32586 LOT 5 Disc Invoice.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD NEVILLES PLACE CTS 32586 LOT 5 Disc.pdf,Corporate/Tekna Group/TD NEVILLES PLACE CTS 32586 LOT 5 Disc.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Signed Purchase Contract - Neville St - COS.pdf,Corporate/Tekna Group/TD Signed Purchase Contract - Neville St - COS.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Singed doc - waiting on aron.pdf,Corporate/Tekna Group/TD Singed doc - waiting on aron.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Tekna Pty Ltd.Deed of Variation.240117.DRAFT.docx,Corporate/Tekna Group/TD Tekna Pty Ltd.Deed of Variation.240117.DRAFT.docx,.docx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.docx
"",TD VAL A001 7 Wallaby Parade Rochedale 13-11-2023.pdf,Corporate/Tekna Group/TD VAL A001 7 Wallaby Parade Rochedale 13-11-2023.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Account Summary 01-07-2025.pdf,Corporate/Tekna Group/TD ATO Account Summary 01-07-2025.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO BAS and Income Tax Statement 2262022 - 26062024 26-06-2024.pdf,Corporate/Tekna Group/TD ATO BAS and Income Tax Statement 2262022 - 26062024 26-06-2024.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Income tax 551.pdf,Corporate/Tekna Group/TD ATO Income tax 551.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Notice Amended Assessment FY20 18-10-2022.pdf,Corporate/Tekna Group/TD ATO Notice Amended Assessment FY20 18-10-2022.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Revised Tax Return FY22 - Pitcher Partners.pdf,Corporate/Tekna Group/TD ATO Revised Tax Return FY22 - Pitcher Partners.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Tax Return FY21 TD.pdf,Corporate/Tekna Group/TD ATO Tax Return FY21 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Tax Return FY22 TD.pdf,Corporate/Tekna Group/TD ATO Tax Return FY22 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD BAS Q1 FY24.pdf,Corporate/Tekna Group/TD BAS Q1 FY24.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD BAS Q4 FY24.pdf,Corporate/Tekna Group/TD BAS Q4 FY24.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD BAS Statement 26-06-2022 to 26-06-2024 (26-06-2024).pdf,Corporate/Tekna Group/TD BAS Statement 26-06-2022 to 26-06-2024 (26-06-2024).pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD CTR FY20 S.pdf,Corporate/Tekna Group/TD CTR FY20 S.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD CTR FY20 US.pdf,Corporate/Tekna Group/TD CTR FY20 US.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD CTR FY21 Amendments US.pdf,Corporate/Tekna Group/TD CTR FY21 Amendments US.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Income Tax Statement 26-06-2022 to 26-06-2024 (26-06-2024).pdf,Corporate/Tekna Group/TD Income Tax Statement 26-06-2022 to 26-06-2024 (26-06-2024).pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD TFN Advice.pdf,Corporate/Tekna Group/TD TFN Advice.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD 01. Tekna Drafting  WBC 699 626  FY25.pdf,Corporate/Tekna Group/TD 01. Tekna Drafting  WBC 699 626  FY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD 02. Tekna Drafting  WBC 699 626  FY25.pdf,Corporate/Tekna Group/TD 02. Tekna Drafting  WBC 699 626  FY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD 03. Tekna Drafting  WBC 699 626  FY25.pdf,Corporate/Tekna Group/TD 03. Tekna Drafting  WBC 699 626  FY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD 04. Tekna Drafting  WBC 699 626  FY25.pdf,Corporate/Tekna Group/TD 04. Tekna Drafting  WBC 699 626  FY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Bank Statement EOY FY23.pdf,Corporate/Tekna Group/TD Bank Statement EOY FY23.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD EOY NAB 922875532 FY22 TD.pdf,Corporate/Tekna Group/TD EOY NAB 922875532 FY22 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD EOY NAB 922875532 FY24 TD.pdf,Corporate/Tekna Group/TD EOY NAB 922875532 FY24 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD EOY WBC 699626 FY24 TD.pdf,Corporate/Tekna Group/TD EOY WBC 699626 FY24 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD 20240117 - Tekna Pty Ltd - Mortgage Registration Confirmation Statement - Logan Property.pdf,Corporate/Tekna Group/TD 20240117 - Tekna Pty Ltd - Mortgage Registration Confirmation Statement - Logan Property.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD ATO Activity statement 001.pdf,Corporate/Tekna Group/TD ATO Activity statement 001.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Registration Confirmation Statement - Khiroya.pdf,Corporate/Tekna Group/TD Registration Confirmation Statement - Khiroya.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Registration Confirmation Statement - Mansfield.pdf,Corporate/Tekna Group/TD Registration Confirmation Statement - Mansfield.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Verification Statement HOH from TD.pdf,Corporate/Tekna Group/TD Verification Statement HOH from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Verification Statement TA from TD.pdf,Corporate/Tekna Group/TD Verification Statement TA from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Verification Statement TH from TD.pdf,Corporate/Tekna Group/TD Verification Statement TH from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Constitution TD.pdf,Corporate/Tekna Group/TD Constitution TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Board Resolution Loans HOH TD.pdf,Corporate/Tekna Group/TD Board Resolution Loans HOH TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Board Resolution Loans TD.pdf,Corporate/Tekna Group/TD Board Resolution Loans TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Board Resolution Loans Tekna Homes TD.pdf,Corporate/Tekna Group/TD Board Resolution Loans Tekna Homes TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Deed of Guarantee and Indemnity Signed James and Andrew.pdf,Corporate/Tekna Group/TD Deed of Guarantee and Indemnity Signed James and Andrew.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD L001 LAD to TeknaAdmin 01-01-2025.pdf,Corporate/Tekna Group/TD L001 LAD to TeknaAdmin 01-01-2025.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD L001 PPSR HOH 02-11-2023.pdf,Corporate/Tekna Group/TD L001 PPSR HOH 02-11-2023.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Loan HOH from TD.pdf,Corporate/Tekna Group/TD Loan HOH from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Loan Tekna Homes from TD.pdf,Corporate/Tekna Group/TD Loan Tekna Homes from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Mortgage - Resignation Confirmation Letter.final.pdf,Corporate/Tekna Group/TD Mortgage - Resignation Confirmation Letter.final.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Mortgage Signed James and Andrew.pdf,Corporate/Tekna Group/TD Mortgage Signed James and Andrew.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Mortgage Signed James and Legal Vision.pdf,Corporate/Tekna Group/TD Mortgage Signed James and Legal Vision.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Security Deed HOH from TD.pdf,Corporate/Tekna Group/TD Security Deed HOH from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Security Deed Tekna Admin from TD.pdf,Corporate/Tekna Group/TD Security Deed Tekna Admin from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Security Deed Tekna Homes from TD.pdf,Corporate/Tekna Group/TD Security Deed Tekna Homes from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Token Issued TA from TD.pdf,Corporate/Tekna Group/TD Token Issued TA from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Token Issued TH from TD.pdf,Corporate/Tekna Group/TD Token Issued TH from TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Minutes to Transfer Shares 25102021 TD.pdf,Corporate/Tekna Group/TD Minutes to Transfer Shares 25102021 TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Company Setup and Members Info TD.pdf,Corporate/Tekna Group/TD Company Setup and Members Info TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Register of Members Setup TD.pdf,Corporate/Tekna Group/TD Register of Members Setup TD.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TD Register of Members.xlsx,Corporate/Tekna Group/TD Register of Members.xlsx,.xlsx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.xlsx
"",TEK 20231211.LV.Tekna Pty Ltd.Share Application Form (PROV).pdf,Corporate/Tekna Group/TEK 20231211.LV.Tekna Pty Ltd.Share Application Form (PROV).pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 20231211.LV.Tekna Pty Ltd.Share Application Form (Sam).pdf,Corporate/Tekna Group/TEK 20231211.LV.Tekna Pty Ltd.Share Application Form (Sam).pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 484_invoice_190428990.pdf,Corporate/Tekna Group/TEK 484_invoice_190428990.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Annual Solvency Minutes Tekna.pdf,Corporate/Tekna Group/TEK Annual Solvency Minutes Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Application for Shares Jonathan Lance Ament Tekna.docx,Corporate/Tekna Group/TEK Application for Shares Jonathan Lance Ament Tekna.docx,.docx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.docx
"",TEK Application for Shares Plug Developments Tekna.docx,Corporate/Tekna Group/TEK Application for Shares Plug Developments Tekna.docx,.docx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.docx
"",TEK Application for Shares Tekna .docx,Corporate/Tekna Group/TEK Application for Shares Tekna .docx,.docx,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.docx
"",TEK ASIC Shareholding Change Tekna.pdf,Corporate/Tekna Group/TEK ASIC Shareholding Change Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK ASIC TEKNA WITH UPDATED SHARE HOLDING 23122023.pdf,Corporate/Tekna Group/TEK ASIC TEKNA WITH UPDATED SHARE HOLDING 23122023.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK ASIC Updated Share Register 22122023.pdf,Corporate/Tekna Group/TEK ASIC Updated Share Register 22122023.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Certificate of Registration Tekna.pdf,Corporate/Tekna Group/TEK Certificate of Registration Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Change of Address Tekna.pdf,Corporate/Tekna Group/TEK Change of Address Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Change of Register of Members Tekna.pdf,Corporate/Tekna Group/TEK Change of Register of Members Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Corporate Key Tekna.pdf,Corporate/Tekna Group/TEK Corporate Key Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Debtor's Ledger Report EOFY25.pdf,Corporate/Tekna Group/TEK Debtor's Ledger Report EOFY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY ASIC FY22 Tekna.pdf,Corporate/Tekna Group/TEK EOY ASIC FY22 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY ASIC FY23 Tekna.pdf,Corporate/Tekna Group/TEK EOY ASIC FY23 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY ASIC FY24 Tekna.pdf,Corporate/Tekna Group/TEK EOY ASIC FY24 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Registered Office Multiplace Tekna.pdf,Corporate/Tekna Group/TEK Registered Office Multiplace Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna PTY LTD ASIC Annual Review 2025.pdf,Corporate/Tekna Group/TEK Tekna PTY LTD ASIC Annual Review 2025.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna Pty Ltd ASIC Extract 18102023.pdf,Corporate/Tekna Group/TEK Tekna Pty Ltd ASIC Extract 18102023.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna View company details - EOFY25.pdf,Corporate/Tekna Group/TEK Tekna View company details - EOFY25.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna Homes 29112023 View company details.pdf,Corporate/Tekna Group/TEK Tekna Homes 29112023 View company details.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna Homes Resolution Issue New Shares.pdf,Corporate/Tekna Group/TEK Tekna Homes Resolution Issue New Shares.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna Homes Share Register.pdf,Corporate/Tekna Group/TEK Tekna Homes Share Register.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna Resolution Share Purchase.pdf,Corporate/Tekna Group/TEK Tekna Resolution Share Purchase.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK ATO Account Summary.pdf,Corporate/Tekna Group/TEK ATO Account Summary.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK ATO Income tax 001.pdf,Corporate/Tekna Group/TEK ATO Income tax 001.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Company Tax Return FY23 Tekna.pdf,Corporate/Tekna Group/TEK Company Tax Return FY23 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Consolidated Tax Return FY22 Tekna Group.pdf,Corporate/Tekna Group/TEK Consolidated Tax Return FY22 Tekna Group.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Consolidated Tax Return FY23 Tekna Group.pdf,Corporate/Tekna Group/TEK Consolidated Tax Return FY23 Tekna Group.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Consolidated Tax Return FY23 Tekna.pdf,Corporate/Tekna Group/TEK Consolidated Tax Return FY23 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Consolidated Tax Return FY24 Tekna Group.pdf,Corporate/Tekna Group/TEK Consolidated Tax Return FY24 Tekna Group.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY ATO FY24 Tekna.pdf,Corporate/Tekna Group/TEK EOY ATO FY24 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna BAS Report April-June 2024FY.pdf,Corporate/Tekna Group/TEK Tekna BAS Report April-June 2024FY.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK Tekna BAS Report Jan-March 2024FY 2.pdf,Corporate/Tekna Group/TEK Tekna BAS Report Jan-March 2024FY 2.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY NAB 199211357 FY22 Tekna.pdf,Corporate/Tekna Group/TEK EOY NAB 199211357 FY22 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY NAB 199211357 FY23 Tekna.pdf,Corporate/Tekna Group/TEK EOY NAB 199211357 FY23 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY NAB 199211357 FY24 Tekna.pdf,Corporate/Tekna Group/TEK EOY NAB 199211357 FY24 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK EOY WBC 699618 FY24 Tekna.pdf,Corporate/Tekna Group/TEK EOY WBC 699618 FY24 Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 1. Tekna WBC Statement 699 618.pdf,Corporate/Tekna Group/TEK 1. Tekna WBC Statement 699 618.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 2. Tekna WBC Statement 699 618.pdf,Corporate/Tekna Group/TEK 2. Tekna WBC Statement 699 618.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 20231017.LV.Tekna Pty Ltd.Deed of Amendment and Restatement (Loan Agreement between GEN2612 and Tekna.pdf,Corporate/Tekna Group/TEK 20231017.LV.Tekna Pty Ltd.Deed of Amendment and Restatement (Loan Agreement between GEN2612 and Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
"",TEK 20231017.LV.Tekna Pty Ltd.Deed of Amendment and Restatement (Security Deed between GEN2612 and Tekna.pdf,Corporate/Tekna Group/TEK 20231017.LV.Tekna Pty Ltd.Deed of Amendment and Restatement (Security Deed between GEN2612 and Tekna.pdf,.pdf,0,0,"",Tekna Group,Tekna Group,Tekna Group,Tekna Group,"","","",1,Tekna Pty Ltd,.pdf
